换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
2.02%,31.88亿,2.07%,34.42万手,30.07万手,3.09,8.45亿,560.11亿,-44.76%,"
                        11.75",13.05,东方财富,12.99,4.22,13.26,13.02,42.89亿,416.38亿,14.36,91.80,64.49万手,0.11,1.50
--,1357.72万,--,--,--,4.81,--,10.42亿,--,"
                        17.26",19.18,百华悦邦,--,3.99,--,--,5430.87万,2.60亿,21.10,23.87,--,0.80,--
0.08%,8868.00万,--,670手,--,2.82,141.23万,74.73亿,100.00%,"
                        17.23",19.15,光弘科技,21.07,7.48,21.07,21.07,3.55亿,18.68亿,21.07,39.81,670手,0.53,--
28.74%,1800.00万,7.31%,2.28万手,2.89万手,13.66,4.30亿,60.30亿,12.37%,"
                        72.28",80.31,设研院,80.00,6.13,85.87,80.00,7200.00万,15.08亿,88.34,37.40,5.17万手,2.24,--
29.36%,2200.00万,5.21%,3.26万手,3.20万手,3.17,2.35亿,31.47亿,-66.97%,"
                        32.31",35.90,科创新源,35.28,11.38,37.15,35.28,8721.74万,7.94亿,39.49,47.20,6.46万手,0.51,--
38.03%,2324.00万,8.07%,5.93万手,2.91万手,2.51,4.01亿,42.93亿,100.00%,"
                        37.79",41.99,科创信息,42.80,18.38,46.19,42.88,9294.60万,10.73亿,46.19,929.00,8.84万手,0.05,--
22.71%,2150.00万,5.48%,2.94万手,1.94万手,5.88,1.63亿,28.18亿,-39.48%,"
                        30.74",34.15,乐歌股份,32.73,5.58,34.60,34.36,8600.00万,7.05亿,37.57,48.03,4.88万手,0.68,--
--,--,--,--,--,--,--,--,--,"
                        --",--,天常股份,--,--,--,--,--,--,--,--,--,--,--
35.96%,2440.00万,4.11%,3.94万手,4.84万手,3.83,2.76亿,30.83亿,-64.84%,"
                        27.83",30.92,润禾材料,30.88,8.25,32.15,31.09,9760.00万,7.71亿,34.01,66.73,8.77万手,0.47,--
23.25%,4010.00万,3.90%,5.27万手,4.05万手,2.53,2.77亿,119.47亿,-19.12%,"
                        27.23",30.26,宏达电子,29.26,11.80,30.44,29.72,4.00亿,11.97亿,33.29,61.14,9.32万手,0.41,--
22.21%,1833.33万,9.11%,1.93万手,2.14万手,5.42,4.99亿,90.85亿,-55.67%,"
                        107.35",119.28,药石科技,116.08,22.86,126.95,116.87,7333.33万,22.71亿,131.21,129.44,4.07万手,0.96,--
13.20%,4000.00万,3.61%,3.05万手,2.23万手,3.69,1.87亿,56.30亿,-50.64%,"
                        32.16",35.73,一品红,34.70,9.54,35.99,35.70,1.60亿,14.08亿,39.30,38.36,5.28万手,0.92,--
14.64%,2005.00万,3.86%,1.67万手,1.27万手,8.98,1.13亿,30.71亿,-42.32%,"
                        34.96",38.84,怡达股份,38.00,4.27,39.50,38.88,8015.00万,7.68亿,42.72,46.67,2.94万手,0.82,--
8.73%,1800.00万,2.62%,9734手,5977手,4.41,4819.10万,22.05亿,13.54%,"
                        27.81",30.90,海川智能,30.31,6.95,31.12,30.86,7200.00万,5.51亿,33.99,70.16,1.57万手,0.44,--
8.39%,4200.00万,2.82%,2.24万手,1.28万手,3.23,8944.43万,42.42亿,63.26%,"
                        23.27",25.85,安达维尔,25.11,7.82,25.84,25.60,1.68亿,10.60亿,28.44,414.57,3.52万手,0.06,--
6.09%,2500.00万,1.68%,9178手,6044手,7.55,5953.49万,38.96亿,-68.04%,"
                        35.25",39.17,长盛轴承,38.82,5.16,39.48,39.10,10000.00万,9.74亿,43.09,31.41,1.52万手,1.24,--
7.47%,1600.00万,2.41%,6831手,5116手,6.15,4237.88万,22.60亿,31.14%,"
                        32.16",35.73,华信新材,35.13,5.74,35.99,35.73,6400.00万,5.65亿,39.30,51.57,1.19万手,0.68,--
12.49%,2668.00万,3.46%,1.71万手,1.62万手,6.09,8535.46万,27.42亿,35.24%,"
                        23.41",26.01,国立科技,25.26,4.22,26.16,25.65,1.07亿,6.86亿,28.61,53.89,3.33万手,0.48,--
7.48%,1062.50万,2.57%,4500手,3444手,7.20,6657.00万,44.28亿,57.55%,"
                        75.74",84.16,英可瑞,83.03,11.57,85.19,83.75,5312.50万,8.86亿,92.58,51.51,7945手,1.52,--
6.53%,3502.00万,2.33%,1.32万手,9655手,4.54,5448.65万,33.20亿,18.72%,"
                        21.67",24.08,永福股份,23.61,5.22,24.17,24.08,1.40亿,8.30亿,26.49,43.38,2.29万手,0.55,--
8.79%,1750.00万,3.10%,9530手,5853手,6.61,6488.36万,28.56亿,-38.41%,"
                        38.34",42.60,万隆光电,41.61,6.30,42.93,42.75,6861.40万,7.28亿,46.86,50.41,1.54万手,0.83,--
4.76%,2200.00万,3.18%,6663手,3805手,7.12,7513.64万,62.40亿,-67.72%,"
                        65.47",72.75,精研科技,70.91,9.96,73.22,72.58,8800.00万,15.60亿,80.03,39.79,1.05万手,1.78,--
24.01%,6433.00万,3.19%,8.53万手,6.92万手,2.85,4.64亿,77.30亿,62.61%,"
                        27.89",30.99,聚灿光电,29.62,10.54,30.61,30.35,2.57亿,19.32亿,34.09,62.47,15.45万手,0.48,--
5.58%,1965.00万,1.82%,6698手,4260手,7.22,5140.78万,36.72亿,42.22%,"
                        42.57",47.30,威唐工业,46.52,6.47,47.38,46.88,7860.00万,9.18亿,52.03,38.20,1.10万手,0.92,--
21.46%,1960.00万,6.22%,2.31万手,1.90万手,5.12,3.69亿,66.88亿,-29.05%,"
                        79.99",88.88,阿石创,85.30,16.65,90.83,87.41,7840.00万,16.72亿,97.77,144.48,4.21万手,0.44,--
16.92%,2934.00万,10.75%,2.38万手,2.58万手,5.44,1.38亿,33.02亿,31.51%,"
                        23.94",26.60,九典制药,26.40,5.18,29.26,26.45,1.17亿,8.26亿,29.26,53.43,4.96万手,0.40,--
2.65%,2000.00万,1.54%,3493手,1810手,7.03,1718.71万,25.85亿,29.36%,"
                        29.16",32.40,创源文化,32.18,4.60,32.68,32.50,8000.00万,6.46亿,35.64,49.04,5303手,0.49,--
2.66%,3000.00万,1.57%,4235手,3747手,10.78,3195.93万,48.20亿,-16.42%,"
                        36.08",40.09,天宇股份,39.77,3.73,40.40,39.77,1.20亿,12.05亿,44.10,34.07,7982手,0.88,--
5.36%,2000.00万,3.77%,6482手,4233手,5.25,3958.60万,29.01亿,-71.56%,"
                        33.39",37.10,森霸股份,36.26,6.91,37.66,37.01,8000.00万,7.25亿,40.81,50.66,1.07万手,0.54,--
5.63%,9200.00万,3.57%,2.76万手,2.42万手,6.96,3.53亿,246.12亿,-92.78%,"
                        61.44",68.27,光威复材,66.88,9.61,69.32,68.27,3.68亿,61.53亿,75.10,88.86,5.18万手,0.56,--
11.49%,3350.00万,5.79%,2.20万手,1.65万手,2.85,9905.65万,33.92亿,-18.52%,"
                        23.77",26.41,万马科技,25.12,8.87,26.65,26.31,1.34亿,8.48亿,29.05,84.37,3.85万手,0.22,--
15.86%,4000.00万,3.52%,3.64万手,2.70万手,4.37,1.58亿,39.36亿,31.27%,"
                        23.02",25.58,电工合金,24.50,5.64,25.40,25.30,1.60亿,9.84亿,28.14,63.20,6.34万手,0.29,--
3.81%,1725.00万,1.79%,3638手,2939手,9.61,4749.84万,49.61亿,-19.12%,"
                        64.69",71.88,爱乐达,71.51,7.49,72.80,71.80,6895.00万,12.41亿,79.07,97.66,6578手,0.55,--
2.77%,1667.77万,1.32%,2710手,1904手,23.17,4128.32万,59.40亿,87.50%,"
                        80.64",89.60,兆丰股份,89.00,3.84,90.18,89.89,6667.77万,14.86亿,98.56,36.47,4615手,1.83,--
11.60%,2281.00万,9.34%,1.28万手,1.36万手,6.33,9407.39万,32.63亿,-71.08%,"
                        30.54",33.93,盛弘股份,33.83,5.65,37.00,34.02,9123.36万,8.16亿,37.32,60.95,2.65万手,0.44,--
9.66%,2667.00万,3.19%,1.35万手,1.22万手,6.39,1.09亿,44.96亿,72.11%,"
                        38.39",42.65,中环环保,41.82,6.60,43.18,42.65,1.07亿,11.24亿,46.92,97.92,2.58万手,0.32,--
